program,category,strategy,passes,build_ok,validate_ok,correct,native_median_ms,wasm_median_ms,wasm_native_ratio,speedup_vs_raw,speedup_vs_O3,accepted,diagnosis,error
llvmss_misc_salsa20,loop_compute,O3,-O3,1,1,1,12028.383,8568.9876,0.7124,-0.0153,0.0,0,,
llvmss_misc_salsa20,loop_compute,random,--inlining-optimizing --remove-unused-brs --optimize-instructions,1,1,1,12028.383,8586.281,0.7138,-0.0174,-0.002,0,,
llvmss_misc_salsa20,loop_compute,llm_static,--simplify-locals --coalesce-locals --local-cse --optimize-instructions --vacuum,1,1,1,12028.383,8516.8185,0.7081,-0.0091,0.0061,0,Stream cipher with the highest local_bloat (0.45); rounds reuse many temporaries that O0 spills.,
llvmss_misc_salsa20,loop_compute,llm_static_perf,--simplify-locals --coalesce-locals --optimize-instructions --precompute --vacuum,1,1,1,12028.383,8578.9114,0.7132,-0.0165,-0.0012,0,Most perf ratios are <1 (wasm already faster); only modest local-level cleanup is warranted to avoid regressions.,
llvmss_misc_evalloop,control_flow,raw,,1,1,1,456.1954,983.8678,2.1567,0.0,-0.7193,0,,
llvmss_misc_evalloop,control_flow,O3,-O3,1,1,1,456.1954,572.2378,1.2544,0.4184,0.0,1,,
llvmss_misc_evalloop,control_flow,random,--coalesce-locals --merge-locals --code-folding,1,1,1,456.1954,795.9209,1.7447,0.191,-0.3909,1,,
llvmss_misc_evalloop,control_flow,llm_static,--remove-unused-brs --merge-blocks --simplify-locals --optimize-instructions --vacuum,1,1,1,456.1954,925.0899,2.0278,0.0597,-0.6166,1,"Expression interpreter: high branch_density, call_density and block_density; O0 leaves a large dispatch with unmerged blocks.",
llvmss_misc_evalloop,control_flow,llm_static_perf,--inlining-optimizing --remove-unused-brs --merge-blocks --simplify-locals --optimize-instructions,1,1,1,456.1954,803.9306,1.7623,0.1829,-0.4049,1,conditional_branches blow up 13.4x and icache 9.5x — the interpreter dispatch is the bottleneck; inlining handlers plus CFG merge should help most.,
llvmss_misc_flops,loop_compute,raw,,1,1,0,10254.0508,6406.6056,0.6248,0.0,,0,,output mismatch vs native reference
llvmss_misc_flops,loop_compute,O3,-O3,1,1,0,10254.0508,6396.1517,0.6238,0.0016,,0,,output mismatch vs native reference
llvmss_misc_flops,loop_compute,random,--remove-unused-brs --merge-blocks --optimize-instructions --ssa --reorder-locals,1,1,0,10254.0508,6411.1754,0.6252,-0.0007,,0,,output mismatch vs native reference
llvmss_misc_flops,loop_compute,llm_static,--simplify-locals --coalesce-locals --local-cse --optimize-instructions --vacuum,1,1,0,10254.0508,6405.8139,0.6247,0.0001,,0,FP mix with extreme local_bloat (0.51) and large average function size; O0 spills heavily.,output mismatch vs native reference
llvmss_misc_flops,loop_compute,llm_static_perf,--simplify-locals --coalesce-locals --precompute --optimize-instructions --vacuum,1,1,0,10254.0508,6403.0614,0.6244,0.0006,,0,cpu_cycles already 0.63x; branches 1.46x and stores 1.49x suggest local/store traffic from O0 — coalescing and precompute target it.,output mismatch vs native reference
llvmss_misc_flops-1,loop_compute,raw,,1,1,1,1320.8742,923.7898,0.6994,0.0,-0.0005,0,,
llvmss_misc_flops-1,loop_compute,O3,-O3,1,1,1,1320.8742,923.3573,0.6991,0.0005,0.0,0,,
llvmss_misc_flops-1,loop_compute,random,--merge-blocks --coalesce-locals --flatten --reorder-locals --dce,1,1,1,1320.8742,924.1127,0.6996,-0.0003,-0.0008,0,,
llvmss_misc_flops-1,loop_compute,llm_static,--optimize-instructions --simplify-locals --remove-unused-brs --precompute --vacuum,1,1,1,1320.8742,923.7011,0.6993,0.0001,-0.0004,0,FP kernel variant with high branch_density and compute_density but low local_bloat; peephole + branch cleanup matter most.,
llvmss_misc_flops-1,loop_compute,llm_static_perf,--remove-unused-brs --merge-blocks --optimize-instructions --simplify-locals --vacuum,1,1,1,1320.8742,923.7338,0.6993,0.0001,-0.0004,0,conditional_branches 5.8x and branch_misses 10x with icache 4.9x — branch structure clearly dominates.,
llvmss_stanford_floatmm,loop_compute,raw,,1,1,1,861.1343,930.0128,1.08,0.0,-0.0975,0,,
llvmss_stanford_floatmm,loop_compute,O3,-O3,1,1,1,861.1343,847.3996,0.9841,0.0888,0.0,1,,
llvmss_stanford_floatmm,loop_compute,random,--rereloop --reorder-locals --vacuum,0,0,0,861.1343,,,,,0,,"build failed: Fatal: Fatal: IR must be flat: run --flatten beforehand (Fatal: Fatal: IR must be flat: run --flatten beforehand (control flow structures must not flow valuesinstructions must only have constant expressions, local.get, or unreachable as childrenFatal: , in IR must be flat: run --flatten beforehand (instructions must only have constant expressions, local.get, or unreachable as children, in rInitmatrixIR must be flat: run --flatten beforehand (IR must be flat: run --flatten beforehand (instructions must only have constant expressions, local.get, or unreachable as children)Fatal: Fatal: , in Fatal: instructions must only have constant expressions, local.get, or unreachable as childrenIR must be flat: run --flatten beforehand (instructions must only have constant expressions, local.get, or unreachable as children, in nsec_now
, in llvm_bench_mainIR must be flat: run --flatten beforehand (instructions must only have constant expressions, local.get, or unreachable as children"
llvmss_stanford_floatmm,loop_compute,llm_static,--inlining-optimizing --simplify-locals --optimize-instructions --precompute --vacuum,1,1,1,861.1343,864.1525,1.0035,0.0708,-0.0198,1,FP matmul with high call_density and compute_density; small helpers plus index arithmetic to fold.,
llvmss_stanford_floatmm,loop_compute,llm_static_perf,--inlining-optimizing --remove-unused-brs --simplify-locals --optimize-instructions --vacuum,1,1,1,861.1343,865.2261,1.0048,0.0697,-0.021,1,"icache 7.7x is the main anomaly; other ratios near 1, so favor inlining + branch cleanup to compact the hot loop.",
llvmss_stanford_puzzle,control_flow,raw,,1,1,1,177.5442,211.1993,1.1896,0.0,-0.0115,0,,
llvmss_stanford_puzzle,control_flow,O3,-O3,1,1,1,177.5442,208.7969,1.176,0.0114,0.0,0,,
llvmss_stanford_puzzle,control_flow,random,--local-cse --coalesce-locals --simplify-locals --remove-unused-brs,1,1,1,177.5442,210.8485,1.1876,0.0017,-0.0098,0,,
llvmss_stanford_puzzle,control_flow,llm_static,--inlining-optimizing --simplify-locals --coalesce-locals --optimize-instructions --vacuum,1,1,1,177.5442,211.5668,1.1916,-0.0017,-0.0133,0,"Recursive solver: high loops/blocks, high local_bloat (0.47) and large functions; both local cleanup and inlining apply.",
llvmss_stanford_puzzle,control_flow,llm_static_perf,--inlining-optimizing --dce --simplify-locals --optimize-instructions --vacuum,1,1,1,177.5442,210.0507,1.1831,0.0054,-0.006,0,icache misses 20.9x dominate; reduce code footprint with DCE after inlining rather than aggressive local expansion.,
llvmss_stanford_perm,call_dense,raw,,1,1,1,16.7711,38.442,2.2922,0.0,0.0568,0,,
llvmss_stanford_perm,call_dense,O3,-O3,1,1,1,16.7711,40.7591,2.4303,-0.0603,0.0,0,,
llvmss_stanford_perm,call_dense,random,--merge-locals --inlining-optimizing --remove-unused-brs,1,1,1,16.7711,38.0054,2.2661,0.0114,0.0676,0,,
llvmss_stanford_perm,call_dense,llm_static,--inlining-optimizing --simplify-locals --dce --optimize-instructions --vacuum,1,1,1,16.7711,40.1465,2.3938,-0.0443,0.015,0,"Recursive permutation generator, call-dense with high compute; O0 leaves all calls out-of-line.",
llvmss_stanford_perm,call_dense,llm_static_perf,--inlining-optimizing --simplify-locals --coalesce-locals --dce --vacuum,1,1,1,16.7711,39.3124,2.3441,-0.0226,0.0355,0,"cpu_cycles 2.84x, instructions 1.72x, loads 1.82x and icache 24.9x — heavy call+spill overhead from O0 recursion.",
llvmss_stanford_towers,call_dense,raw,,1,1,1,19.232,39.5337,2.0556,0.0,-0.0848,0,,
llvmss_stanford_towers,call_dense,O3,-O3,1,1,1,19.232,36.4422,1.8949,0.0782,0.0,1,,
llvmss_stanford_towers,call_dense,random,--coalesce-locals --inlining --vacuum,1,1,1,19.232,34.9628,1.8179,0.1156,0.0406,1,,
llvmss_stanford_towers,call_dense,llm_static,--inlining-optimizing --simplify-locals --dce --optimize-instructions --vacuum,1,1,1,19.232,35.9013,1.8667,0.0919,0.0148,1,"Towers of Hanoi recursion, call-dense; inline the move helper and clean up.",
llvmss_stanford_towers,call_dense,llm_static_perf,--inlining-optimizing --simplify-locals --coalesce-locals --dce --optimize-instructions,1,1,1,19.232,35.8344,1.8633,0.0936,0.0167,1,"instructions 1.96x, cpu 2.46x, stores 1.86x and branch_misses 8.75x; recursion spill + call overhead dominate.",
llvmss_stanford_queens,control_flow,raw,,1,1,1,14.9462,22.7281,1.5207,0.0,0.012,0,,
llvmss_stanford_queens,control_flow,O3,-O3,1,1,1,14.9462,23.0041,1.5391,-0.0121,0.0,0,,
llvmss_stanford_queens,control_flow,random,--dce --precompute --merge-blocks,1,1,1,14.9462,22.555,1.5091,0.0076,0.0195,0,,
llvmss_stanford_queens,control_flow,llm_static,--remove-unused-brs --merge-blocks --simplify-locals --optimize-instructions --vacuum,1,1,1,14.9462,22.8946,1.5318,-0.0073,0.0048,0,"N-queens backtracking: medium branch density, high block density; CFG cleanup plus peephole.",
llvmss_stanford_queens,control_flow,llm_static_perf,--remove-unused-brs --merge-blocks --inlining-optimizing --simplify-locals --optimize-instructions,1,1,1,14.9462,22.5181,1.5066,0.0092,0.0211,0,"branch_misses 13.2x, icache 26.4x and instructions 1.57x; inline the placement check and simplify branches.",
